0 4270 1868 536 
1 1044 576 93 
2 1192 653 61 
3 1255 734 54 
4 1182 708 56 
5 1132 683 52 
6 985 626 63 
7 874 502 51 
8 707 435 68 
9 569 356 81 
10 455 248 77 
11 388 217 112 
12 324 138 145 
13 272 108 189 
14 275 94 214 
15 262 67 227 
16 263 49 336 
17 236 43 385 
18 227 35 447 
19 236 27 562 
20 226 32 623 
21 244 27 700 
22 241 16 798 
23 258 17 949 
24 262 19 1008 
25 274 8 1162 
26 290 16 1221 
27 299 14 1349 
28 314 13 1341 
29 383 4 1446 
30 358 5 1482 
31 399 7 1598 
32 393 10 1685 
33 465 6 1620 
34 499 4 1714 
35 461 2 1664 
36 551 2 1572 
37 511 2 1611 
38 552 2 1474 
39 613 3 1463 
40 603 2 1298 
41 631 1 1328 
42 699 3 1289 
43 635 0 1074 
44 660 1 1072 
45 724 1 990 
46 630 1 904 
47 659 1 840 
48 688 0 821 
49 651 1 730 
50 678 0 707 
51 630 1 626 
52 620 1 608 
53 629 0 600 
54 608 1 586 
55 579 1 558 
56 501 2 608 
57 522 0 551 
58 496 0 502 
59 453 0 513 
60 430 0 552 
61 422 0 503 
62 400 0 553 
63 378 0 533 
64 366 0 543 
65 350 0 564 
66 353 0 475 
67 295 0 512 
68 267 0 501 
69 286 0 509 
70 262 0 528 
71 262 1 446 
72 253 0 488 
73 225 1 447 
74 244 0 423 
75 230 0 489 
76 224 1 391 
77 224 0 397 
78 222 1 360 
79 221 0 377 
80 212 1 420 
81 211 0 365 
82 207 1 367 
83 180 0 331 
84 203 0 341 
85 222 0 339 
86 192 0 285 
87 190 0 304 
88 221 0 315 
89 178 0 307 
90 220 0 275 
91 209 0 247 
92 203 0 276 
93 219 0 253 
94 211 0 224 
95 178 0 223 
96 191 0 237 
97 197 0 258 
98 180 0 228 
99 196 0 216 
100 183 0 205 
101 188 0 225 
102 181 0 204 
103 184 0 222 
104 173 1 211 
105 158 0 209 
106 181 0 205 
107 173 1 209 
108 134 0 220 
109 154 0 158 
110 156 1 188 
111 156 0 162 
112 149 1 166 
113 148 0 167 
114 130 0 143 
115 121 0 170 
116 152 0 161 
117 121 0 176 
118 138 0 160 
119 124 1 127 
120 127 0 130 
121 135 0 140 
122 141 1 113 
123 99 0 135 
124 95 0 124 
125 97 0 122 
126 119 0 124 
127 121 1 129 
128 108 0 121 
129 124 0 130 
130 103 0 119 
131 108 0 138 
132 93 0 122 
133 95 0 125 
134 103 0 112 
135 79 0 95 
136 101 0 108 
137 113 0 117 
138 98 1 95 
139 93 1 110 
140 111 0 82 
141 100 0 109 
142 96 0 91 
143 93 0 96 
144 77 0 99 
145 99 0 86 
146 93 0 78 
147 83 0 80 
148 79 0 77 
149 83 0 91 
150 87 0 93 
151 78 0 76 
152 82 0 77 
153 70 0 73 
154 80 0 68 
155 67 0 72 
156 75 0 74 
157 87 0 70 
158 76 0 65 
159 91 0 79 
160 73 0 72 
161 72 1 60 
162 80 0 85 
163 73 0 66 
164 76 0 62 
165 54 0 58 
166 70 0 66 
167 75 0 67 
168 59 0 54 
169 73 0 54 
170 64 0 57 
171 67 0 52 
172 65 0 62 
173 73 0 46 
174 51 0 65 
175 59 0 47 
176 64 0 50 
177 56 0 50 
178 52 0 51 
179 62 0 32 
180 55 0 46 
181 56 0 44 
182 45 0 58 
183 51 0 50 
184 62 0 44 
185 48 0 53 
186 55 0 52 
187 56 0 37 
188 49 0 41 
189 58 0 43 
190 51 0 38 
191 66 0 44 
192 41 0 47 
193 49 0 36 
194 50 0 33 
195 46 0 28 
196 59 0 38 
197 40 0 31 
198 42 0 31 
199 52 0 30 
200 48 0 40 
201 41 0 29 
202 58 0 35 
203 54 0 42 
204 48 0 28 
205 50 0 31 
206 43 0 21 
207 48 0 31 
208 49 0 26 
209 43 0 26 
210 58 0 31 
211 47 0 29 
212 56 0 23 
213 51 1 30 
214 41 0 22 
215 41 0 24 
216 35 0 28 
217 44 0 21 
218 34 0 29 
219 29 0 28 
220 46 0 28 
221 39 0 19 
222 47 0 26 
223 28 0 16 
224 41 0 22 
225 38 0 24 
226 48 0 12 
227 47 0 24 
228 29 0 30 
229 43 0 25 
230 37 0 26 
231 31 0 17 
232 36 0 14 
233 31 0 29 
234 39 0 18 
235 40 0 15 
236 37 0 23 
237 33 0 20 
238 38 0 25 
239 34 0 20 
240 35 0 20 
241 32 0 11 
242 40 0 23 
243 24 0 26 
244 29 0 15 
245 38 0 18 
246 33 0 18 
247 51 0 16 
248 31 0 21 
249 25 0 12 
